date,name,artists,avg_rank,avg_popularity,country_count
2025-03-13,APT.,"ROSÉ, Bruno Mars",19.5,91.0,47
2025-03-13,All The Stars (with SZA),"Kendrick Lamar, SZA",24.11,94.0,27
2025-03-13,BAILE INoLVIDABLE,Bad Bunny,9.91,95.0,21
2025-03-13,BIRDS OF A FEATHER,Billie Eilish,21.52,97.0,43
2025-03-13,Beautiful Things,Benson Boone,27.04,89.0,23
2025-03-13,Busy Woman,Sabrina Carpenter,32.8,89.0,5
2025-03-13,CHIHIRO,Billie Eilish,40.0,88.0,1
2025-03-13,DENIAL IS A RIVER,Doechii,23.71,91.0,6
2025-03-13,DtMF,Bad Bunny,10.81,97.0,26
2025-03-13,EoO,Bad Bunny,18.28,91.0,18
2025-03-13,Every Breath You Take,The Police,46.0,89.0,2
2025-03-13,"Good Luck, Babe!",Chappell Roan,32.19,93.0,15
2025-03-13,I Wanna Be Yours,Arctic Monkeys,37.5,90.0,1
2025-03-13,Iris,The Goo Goo Dolls,35.67,88.0,5
2025-03-13,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",12.0,81.0,16
2025-03-13,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",41.0,90.0,2
2025-03-13,Lose Control,Teddy Swims,34.33,89.0,14
2025-03-13,ME JALO,"Fuerza Regida, Grupo Frontera",21.09,88.0,10
2025-03-13,NOKIA,Drake,23.08,88.0,12
2025-03-13,NUEVAYoL,Bad Bunny,20.78,94.0,22
2025-03-13,No One Noticed,The Marías,29.0,89.0,5
2025-03-13,Not Like Us,Kendrick Lamar,26.55,96.0,37
2025-03-13,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",27.33,91.0,5
2025-03-13,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",24.5,90.0,16
2025-03-13,Sailor Song,Gigi Perez,22.96,93.0,25
2025-03-13,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",38.33,90.0,3
2025-03-13,Show Me Love,"WizTheMc, bees & honey",22.24,82.0,17
2025-03-13,Si Antes Te Hubiera Conocido,KAROL G,27.8,91.0,20
2025-03-13,Taste,Sabrina Carpenter,31.57,90.0,6
2025-03-13,That’s So True,Gracie Abrams,17.93,95.0,27
2025-03-13,The Days - NOTION Remix,"Chrystal, NOTION",23.64,88.0,11
2025-03-13,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",27.61,88.0,22
2025-03-13,VOY A LLeVARTE PA PR,Bad Bunny,14.78,93.0,17
2025-03-13,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",11.5,92.0,17
2025-03-13,WILDFLOWER,Billie Eilish,27.58,94.0,23
2025-03-13,Yellow,Coldplay,40.0,90.0,2
2025-03-13,blue,yung kai,24.6,90.0,9
2025-03-13,like JENNIE,JENNIE,20.2,83.0,24
2025-03-13,luther (with sza),"Kendrick Lamar, SZA",18.38,93.0,23
2025-03-13,squabble up,Kendrick Lamar,30.5,90.0,2
2025-03-13,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",29.57,94.0,13
2025-03-14,APT.,"ROSÉ, Bruno Mars",19.47,91.0,48
2025-03-14,All The Stars (with SZA),"Kendrick Lamar, SZA",25.58,94.0,25
2025-03-14,BAILE INoLVIDABLE,Bad Bunny,10.0,96.0,21
2025-03-14,BIRDS OF A FEATHER,Billie Eilish,19.79,97.0,42
2025-03-14,Beautiful Things,Benson Boone,27.77,89.0,25
2025-03-14,Busy Woman,Sabrina Carpenter,34.0,89.0,5
2025-03-14,CHIHIRO,Billie Eilish,36.0,89.0,1
2025-03-14,DENIAL IS A RIVER,Doechii,19.5,91.0,5
2025-03-14,DtMF,Bad Bunny,11.37,97.0,26
2025-03-14,EoO,Bad Bunny,17.78,91.0,18
